xihao,0£¨0h£©,1£¨0.5h£©,2(1h),3(1.5h),4(2h),5(4h),6(6h),7(8h),8(10h),9(12h),10(16h),11(20h),12(24h£©,13(30h),14(36h)
P77,5.00E+03,8.87E+06,1.68E+07,1.25E+07,2.25E+07,2.08E+07,1.56E+07,1.56E+07,5.10E+07,2.45E+08,9.25E+08,1.11E+09,8.95E+08,3.16E+09,8.41E+09
P78,5.00E+03,1.65E+07,1.62E+07,8.54E+06,1.14E+07,1.27E+07,3.44E+07,1.50E+08,1.47E+07,2.53E+08,5.66E+08,2.64E+09,2.30E+09,6.55E+09,1.19E+10
P79,5.00E+03,9.18E+06,1.34E+07,8.26E+06,1.10E+07,1.41E+07,2.65E+07,2.41E+07,1.39E+07,4.49E+08,1.27E+09,2.76E+09,2.46E+09,2.02E+09,7.16E+09
P80,5.00E+03,6.84E+06,1.80E+07,9.07E+06,9.11E+06,1.62E+07,2.89E+07,8.38E+07,1.33E+07,2.61E+08,1.78E+09,1.60E+09,2.71E+09,5.43E+09,3.93E+09
P81,5.00E+03,1.51E+06,1.54E+06,1.60E+06,1.46E+06,4.68E+06,2.58E+07,1.47E+08,2.68E+08,5.56E+08,6.44E+09,4.39E+09,3.18E+09,1.77E+09,6.32E+07
P82,5.00E+03,1.98E+06,1.76E+06,2.56E+06,2.98E+06,3.35E+06,1.30E+07,8.83E+07,8.70E+07,1.06E+09,6.77E+09,8.07E+09,1.31E+10,1.10E+10,6.08E+08
P83,5.00E+03,2.18E+06,1.76E+06,2.27E+06,2.96E+06,6.51E+06,2.32E+07,1.42E+08,2.26E+08,8.04E+08,3.74E+09,6.75E+09,8.70E+09,2.48E+09,7.68E+08
P84,5.00E+03,1.23E+06,2.08E+06,1.65E+06,1.03E+06,5.21E+06,2.43E+07,1.21E+08,1.34E+08,4.77E+08,8.53E+08,2.04E+09,7.59E+09,3.08E+09,1.34E+09
P85,5.00E+03,9.03E+05,2.26E+06,1.23E+06,5.90E+06,8.58E+06,4.39E+07,1.05E+08,1.51E+08,8.45E+08,2.94E+09,6.03E+09,8.97E+09,1.21E+10,7.31E+09
P86,5.00E+03,6.03E+06,1.12E+07,8.00E+06,9.34E+06,2.04E+07,4.15E+08,4.24E+08,3.48E+08,1.28E+09,1.41E+09,2.35E+09,3.88E+09,6.77E+06,1.20E+03
P87,5.00E+03,1.19E+06,1.88E+06,1.71E+06,1.03E+06,1.08E+06,9.44E+07,2.38E+08,1.88E+09,1.62E+09,5.47E+09,1.08E+10,4.74E+10,7.39E+09,3.08E+09
P88,5.00E+03,8.13E+06,1.18E+07,1.31E+07,1.28E+07,8.64E+07,1.35E+08,1.81E+08,4.25E+08,1.68E+09,2.33E+09,3.42E+09,1.27E+10,4.17E+10,3.32E+10
P89,5.00E+03,9.10E+06,1.15E+07,1.36E+07,1.61E+07,1.80E+07,4.78E+07,2.52E+08,9.28E+07,2.71E+08,5.18E+08,2.72E+09,2.08E+09,3.89E+05,4.75E+04
P90,5.00E+03,1.40E+06,1.38E+05,1.30E+06,8.85E+05,1.47E+06,2.42E+07,3.53E+08,9.37E+08,2.71E+09,5.98E+09,1.74E+09,4.06E+08,3.88E+08,1.04E+08
P91,5.00E+03,3.67E+05,7.14E+06,2.06E+07,5.06E+07,1.54E+08,1.67E+08,2.30E+08,2.78E+08,7.44E+08,1.43E+09,1.50E+09,2.96E+09,3.91E+09,8.31E+08
P92,5.00E+03,1.22E+07,1.54E+07,1.79E+07,4.96E+07,7.47E+07,7.36E+07,1.60E+08,2.25E+08,3.96E+08,1.32E+09,8.69E+06,5.65E+06,5.44E+06,1.73E+06
P93,5.00E+03,1.27E+07,2.19E+07,3.14E+07,8.74E+07,1.03E+08,2.83E+08,1.26E+08,3.86E+08,9.12E+08,2.66E+09,4.90E+09,2.07E+09,1.78E+09,1.72E+09
P94,5.00E+03,1.19E+07,2.05E+07,4.71E+07,4.89E+07,8.26E+07,9.50E+07,2.28E+08,2.49E+08,3.32E+08,4.71E+08,1.59E+09,1.67E+09,2.62E+09,3.08E+09
P95,5.00E+03,1.01E+07,1.16E+07,1.24E+07,4.10E+07,4.49E+07,4.89E+07,6.42E+07,9.31E+07,1.33E+08,2.43E+08,4.43E+08,3.88E+09,2.22E+10,2.76E+10
P96,5.00E+03,5.19E+06,6.11E+06,9.62E+06,3.64E+06,7.02E+06,1.03E+07,1.18E+07,6.21E+07,1.57E+08,3.13E+08,4.87E+09,9.58E+07,6.55E+07,4.56E+07
P97,5.00E+03,3.06E+06,3.98E+06,5.40E+06,5.93E+06,6.26E+06,7.06E+06,1.94E+07,2.62E+08,8.55E+08,9.99E+08,3.22E+09,1.68E+10,1.70E+09,3.23E+08
P98,5.00E+03,1.56E+07,1.69E+07,1.92E+07,2.11E+07,3.10E+07,3.39E+07,8.14E+07,1.17E+08,2.77E+08,8.91E+09,9.33E+09,3.77E+08,1.37E+08,4.57E+07
P99,5.00E+03,1.32E+07,1.38E+07,1.62E+07,1.73E+07,1.96E+07,5.08E+07,9.59E+07,3.17E+08,6.18E+09,1.19E+10,5.16E+09,4.54E+07,6.86E+06,8.99E+05
P100,5.00E+03,2.91E+06,3.03E+06,3.22E+06,7.06E+06,7.07E+06,8.68E+06,2.47E+07,3.23E+08,2.24E+08,4.79E+08,7.91E+08,1.04E+09,5.66E+09,6.23E+08
